name;okrug;subject;cityname;vedomstvo;specific;y2017I1.1;y2017I1.2;y2017I1.3;y2017I1.4;y2017I1.5;y2017I1.6;y2017I1.7;y2017I1.8;y2017I1.9;y2017I1.10;y2017I1.11;y2017I1.12;y2017I1.13;y2017I1.14;y2017I1.15;y2017I2.1;y2017I2.2;y2017I2.3;y2017I2.4;y2017I2.5;y2017I2.6;y2017I2.7;y2017I2.8;y2017I2.9;y2017I2.10;y2017I2.11;y2017I2.12;y2017I2.13;y2017I2.14;y2017I2.15;y2017I2.16;y2017I3.1;y2017I3.2;y2017I3.3;y2017I3.4;y2017I3.5;y2017I3.6;y2017I3.7;y2017I3.8;y2017I3.9;y2017I3.10;y2017I3.11;y2017I3.12;y2017I3.13;y2017I4.1;y2017I4.2;y2017I4.3;y2017I4.4;y2017I5.1;y2017I5.2;y2017I5.3;y2017I5.4;y2017I5.5;y2017I5.6;y2017I5.7;y2017I5.8;y2017I6.1;y2017I7.1;y2017I7.2;y2017I7.3;y2017I7.4;y2017I7.5
Первый Санкт-Петербургский государственный медицинский университет имени академика И.П. Павлова ;5;48;Санкт-Петербург;9;4;95.71;93.81;66.52;49.92;0;51;359;31.85;0;16.88;0;49.46;21.07;89.3;20.52;0;348.93;432;12.82;26.34;19.38;236139.1;4.25;100;92.67;0;0;9.6;0.43;4;3.94;6.49;6.86;13.51;8.24;5.28;0;0;0;0;6.96;3.83;0;0;2324.98;41.5;131.53;1017.78;27.61;0;27.61;0;0;0.39;24.69;166.73;0;53.65;25.46;79.18;14.28;73.13
Пермская государственная сельскохозяйственная академия имени академика Д.Н. Прянишникова;9;76;Пермь;6;1;54.84;54.84;48.53;42.85;0;0;29;3.46;8.88;10.56;3.09;86.63;2.4;90.45;1.59;4.97;9.94;461.92;1.17;3.22;212.83;34210;5.64;59.05;97.68;0;0;14.2;2.19;1;0.29;0.1;1.92;0.49;0.12;0.37;0;0;0;0;0;0;0;0;589.11;33.23;150.64;191.3;16.44;0;16.32;0.12;0;0.34;48.49;212.27;75;65.69;10;72.54;3.86;90.86
Петербургский государственный университет путей сообщения Императора Александра I;5;48;Санкт-Петербург;12;1;67.39;67.39;53.71;51.69;0;0;326;19.29;6;9.2;40.18;31.28;4.2;95.25;28.24;13.1;22.86;717.86;4.49;7.71;178.25;553762.6;22.11;75.27;711.14;2;2.95;10.79;0.37;7;0.39;2.56;6.83;10.93;4.91;6.01;0.34;0.7;0.34;2;0.66;6.6;7998.8;118344.4;2303.89;71.53;164.84;347.6;17.79;0;17.79;0;0;0.48;43.39;210.53;85;51.63;15.42;67.49;4.84;90.09
Петрозаводский государственный университет;5;55;Петрозаводск;5;1;67.45;67.45;60.62;46.51;0;0;86;6.04;5.96;10.04;6.67;82.58;4.71;85.95;7.13;57.73;95.19;766.11;12.63;16.37;103.1;195951.9;10.53;100;121.38;8;0;15.13;2.19;13;13.6;1.96;0.79;0.7;0.15;0.54;0.19;0.64;0.67;6;0.61;0.31;50531.8;23750.8;699.61;27.09;150.92;268.35;14.86;0.04;13.74;0;1.08;0.57;17.79;209;80;59.53;15.34;72.83;5.87;91.46
Поволжский государственный технологический университет;9;78;Йошкар-Ола;5;1;60.97;60.97;58.99;45.91;0;0;83;7.74;21.54;22.75;18.86;29.59;3.28;87.66;10.6;7.3;36.32;1091.99;15.11;12.05;317.72;63519.3;6.04;99.01;67.41;1;0.02;32.24;2.39;7;3.73;0.22;10.92;5.26;0;5.26;0.04;0.02;0.16;1;0.52;1.55;5268.2;14259.9;483.37;27.07;163.08;178.89;13.57;0;13.57;0;0;0.41;50.62;153.2;70;63.3;12.14;72.56;4.75;85.88
Поволжский государственный университет телекоммуникаций и информатики;9;81;Самара;13;1;63.48;63.48;53.62;42.66;0;0;20;3.14;11.52;13.39;23.08;89.14;2.43;89.28;2.46;3.88;12.12;356.45;12.12;19.4;244.42;17407.7;3.87;69.67;75.96;2;0;29.24;2.04;2;5.82;0.04;7.92;5.03;0;5.03;0;0;0;0;0;3.08;0;0;847.49;38.8;168.45;168.64;15.23;0;15.23;0;0;0.51;0.47;114.3;80;54.1;16.83;72.21;3.52;83.41
Приморская государственная сельскохозяйственная академия;4;25;Уссурийск;6;3;50.51;50.51;63;42.67;0;0;2;0.6;1.08;2.85;0;60.66;1.94;87.36;1.49;111.71;223.41;819.48;4.47;11.62;247.54;14406.7;3.94;100;104.8;0;0;13.64;2.46;1;0.89;0;6.54;1.1;0;1.1;0.28;0.14;0;0;0;0;574;450.8;569.66;17.44;158.6;236.92;25.9;0;25.9;0;0;0.37;22.75;167.37;60;65.77;4.42;69.11;3.05;79.22
Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации;1;1;Москва;11;1;89.43;86.42;65.14;41.62;5;96;70;2.33;19.78;21.96;58.16;100;4.12;98.5;1.12;7.09;20.49;753.61;4.35;11.65;519.65;1436388.5;14.26;98.42;144.74;0;0;17.95;0.33;32;2.81;1.45;2.63;4.21;1.66;2.55;0;0;1.69;21;5.67;0;0;29755.6;3227.98;45.68;213.3;691.11;12.82;0;12.82;0;0;0.21;7.54;74.18;75;42.82;18.62;60.06;4.81;70.83
Российский государственный аграрный заочный университет;1;2;Балашиха;6;1;0;0;50.7;42.3;0;0;0;0;3.07;5.85;0;78.42;6.82;92.95;0.65;2.18;2.18;126.36;1.45;2.18;147.42;9059.5;2.68;100;47.64;76;0;11.8;1.25;3;0;0.02;6.71;3.16;0;3.16;0;0;0.56;0;0;0;0;9533.9;1158.63;47.27;160.87;354.25;49.28;0;49.21;0;0;0.55;20.41;777.4;75;62.13;19.35;82.89;1.33;92.35
Российский государственный аграрный университет - МСХА имени К.А.Тимирязева;1;1;Москва;6;1;61.34;61.28;55.01;40.46;0;2;69;2.79;14.73;16.8;13.55;16.93;2.78;74.46;3.22;14.53;30.24;888.52;2.82;5;138.69;330942.4;10.14;100;131.48;13;0.06;16.58;0.68;3;1.18;1.66;3.62;4.74;2.21;2.52;0.09;0.05;0.24;3;5.3;1.56;6308.7;0;975.49;32.89;123.96;283.01;22.4;0;22.4;0;0;0.33;26.82;359.89;75;54.53;18.96;75.02;5.67;93.06
Российский государственный геологоразведочный университет имени Серго Орджоникидзе;1;1;Москва;5;1;66;65.86;54.71;50.32;0;1;16;3.1;8.19;10.25;55.88;62.58;3.51;13.24;3.36;5.97;12.37;281.88;2.56;4.26;107.89;47053;7.04;100;134.36;0;0.59;14.29;1.33;2;6.4;5.96;11.38;14.19;6.22;7.97;0;0;0;0;17.65;8.82;0;32905.4;893.22;31.33;88.35;229.79;19.49;0;19.49;0;0;0.22;18.91;155.9;60;47.97;27.93;74.44;4.34;79.04
Российский государственный гидрометеорологический университет;5;48;Санкт-Петербург;5;1;67.29;67.29;54.13;42.85;0;0;15;1.8;11.44;12.96;15.53;91.52;2.31;66.31;3.61;153.3;182.46;391.64;7.05;14.09;91.35;111421.7;16.27;94.25;97.87;0;0;19.68;0.75;1;3.89;2.61;10.38;11.23;3.69;7.55;0.14;0;0;0;29.41;2.35;0;21982.1;587.67;35.32;115.39;186.04;9.09;0.89;8.1;0;0.1;0.31;47.97;104.25;75;49.59;15.05;63.92;5.4;82.05
Российский государственный гуманитарный университет;1;1;Москва;5;1;81.18;81.18;67.19;49.09;0;0;0;0;17.1;20.05;54.37;54.46;3.79;72.61;0.17;11.47;16.28;2948.54;14.87;9.34;342.89;98672.4;5.17;100;114.99;0;0;14.22;0.78;13;6.65;2.22;3.32;2.43;0.93;1.5;0.93;2.64;2.2;24;4.91;1.89;460.4;11110.6;1696.77;62.32;142.98;274.8;9.13;0;9.13;0;0;0.27;37.42;137.85;70;54.85;20.2;75.3;4.63;82.72
Российский государственный педагогический университет им. А. И. Герцена;5;48;Санкт-Петербург;5;1;75.55;75.08;66.12;44.14;3;16;158;5.75;19.57;22.89;46.26;53.77;5.85;79.53;6.75;27.31;58.5;320.26;6.83;9.78;217.94;133372.5;5.51;100;73.91;7;0;10.11;0.97;3;4.61;7.01;2.02;10.21;8.75;1.46;0.38;0.34;0.57;8;15.47;0.81;0;10961.1;1126.21;50.41;172.69;192.29;10.24;0;9.89;0.35;0;0.24;39.36;266.96;75;58.09;24.25;83.78;5.35;87.28
Российский государственный социальный университет;1;1;Москва;5;1;67.47;67.47;60.9;47.44;0;0;7;0.65;15.88;16.85;40.29;59.15;2.06;94.74;0.05;27.77;132.28;11176.75;5.64;37.02;1174.94;159891.7;9.44;85.62;141.25;0;0.02;26.5;0.59;6;0;1;5.69;3.64;0.62;3.02;1.51;1.62;2.5;9;1.27;2.55;0;2578.1;2025.84;47.61;164.68;246.72;13.67;0.07;13.61;0;0;0.2;15.93;28.37;0;62.81;26.41;87.6;2.11;85.71
Российский государственный университет им.А.Н.Косыгина (Технологии. Дизайн. Искусство);1;1;Москва;5;1;67.32;67.23;59.93;52.55;2;0;13;0.93;13.07;15.46;20.37;38.6;2.83;67.85;0.16;25.72;59.65;265.66;17.52;27.28;107.55;67940.9;6.39;98.53;150.66;0;0;10.32;0.72;2;0.89;0.39;4.81;3.84;0.36;3.48;0;0;0.17;1;2.86;2.29;0;177.7;1005.55;35.19;135.29;208.54;14.39;0;14.18;0.04;0.18;0.35;22.56;186.64;0;63.9;16.05;82.39;4.74;93.23
Российский государственный университет нефти и газа  имени И.М. Губки;1;1;Москва;5;1;82.03;80.47;62.42;53.54;2;34;338;22.9;25.29;27.85;38.07;31.05;4.82;94.22;17.11;50.32;67.73;591.7;11.97;19.73;135.79;1241527.2;30.32;84.62;1077.84;2;0;13.39;1.37;7;2.11;6.05;3.95;12.07;7.48;4.59;0.08;0.06;0.54;6;14.29;5.71;7058.5;155544.2;2943.43;64.85;187.31;512.25;16.64;0;16.64;0;0;0.59;43.54;168.85;85;51.67;21.6;72.14;7.32;79.09
Российский государственный университет туризма и сервиса;1;2;поселок Черкизово;5;1;71.94;71.94;63;43;0;0;0;0;8.36;9.03;24.62;100;0.74;84.9;0;27.33;70.11;1780.15;11.29;21.39;323.83;57802.3;9.81;77.35;16.91;1;0;16.03;0;4;0.59;1.76;13.1;9.5;0.57;8.92;0.69;0.86;1.28;2;0;0;686.4;51453.3;1971.92;56.3;193.82;292.08;25.96;0;25.96;0;0;0.35;15.06;550.96;70;59.51;15.3;67.66;2.9;83.33
Российский национальный исследовательский медицинский университет имени Н.И. Пирогова ;1;1;Москва;9;4;86.96;86.15;69.76;56.78;0;42;564;28.73;0;19.95;0;71.85;25.44;90.56;19.63;228.67;294.94;587.56;17.7;25.67;99.97;506237.1;10.44;76.76;8.38;3;0;16.97;1.64;2;1.58;4.09;2.12;17.01;14.05;2.96;0;0;0.55;11;2.61;4.23;2638.5;65981.5;740.32;27.01;101.33;644.09;23.47;0;23.47;0;0;0.49;45.66;115.66;75;52.16;27.88;80.93;17.05;64.44
Российский университет дружбы народов;1;1;Москва;5;1;77.88;76.56;62.72;46.15;16;24;53;1.41;17.27;27.26;34.23;46.45;14.7;96.71;1.9;86.16;116.58;296.88;25.99;33.43;395.88;344150.2;4.35;99.49;112.77;6;0;19.2;3.53;27;4.37;14.68;10.38;22.56;15.52;7.04;2.33;2.16;1.09;23;21.34;12.56;5260.8;653601.2;3084.65;70.35;189.35;405.66;17.32;0;11.29;0;0;0.24;34.42;94.65;65;52.61;18.42;70.56;5.63;72.31
Российский экономический университет имени Г.В. Плеханова;1;1;Москва;5;1;84.48;83.82;66.72;50.07;2;33;58;2.07;16.52;18.73;100;73.72;3.39;80.56;1.36;11.4;34.21;983.78;11.4;31.63;1281.54;167317.4;3.22;93.52;104.62;0;0;23.72;1.58;14;4.37;2.47;3.06;4.35;2.14;2.2;1.62;1.3;2.32;20;6.78;3.39;6243.3;60.6;2526.5;54.57;163.06;331.64;9.98;0;9.98;0;0;0.27;1.73;38.93;80;61.44;22.75;84.65;4.61;94.81
Ростовский государственный медицинский университет Министерства здравоохранения Российской Федерации;6;62;Ростов-на-Дону;9;4;81.24;81.24;66.3;38.98;0;0;396;32.86;0;17.2;0;50.2;23.21;90.47;33.26;63.47;66.33;535.31;5.19;6.49;150.18;43970.6;2.23;100;43.21;0;0;12.78;1.09;3;2.6;5.59;1.82;8.82;7.89;0.94;0;0;0.56;5;2.34;2.57;0;44705.9;1208.6;47.31;158.18;345.07;16.43;0;15.14;1.29;0;0.25;33.36;107.92;0;53.04;19.21;72.35;9.61;72.41
Ростовский государственный экономический университет (РИНХ);6;62;Ростов-на-Дону;5;1;72.73;72.73;59.23;43.02;0;0;2;0.18;12.17;13.68;23.19;71.12;4.21;91.33;1.19;0.39;7.32;307.37;5.39;12.52;492.06;28351.6;3.18;100;50.51;0;0;25.38;2.23;6;2.89;0.74;5.7;4.95;1.58;3.37;0.13;0;0.33;0;3.95;0.88;0;0;1114.59;64.91;174.34;164.74;10.45;0;10.37;0;0.08;0.34;53.7;168.34;70;59.51;23.06;82.29;3.63;89.63
Рязанский государственный агротехнологический университет имени П.А. Костычева;1;40;Рязань;6;3;54.25;54.25;51.28;40.91;0;0;22;4.51;8.62;11.55;16.33;30.19;3.88;89.02;1.48;0;0.9;5179.71;0.45;0.9;303.49;35583.3;7.92;100;37.28;0;0;20.43;2.31;2;0;0.36;4.23;3.43;0.18;3.26;0;0;0;0;0;0;0;5672.9;604.78;29.86;183.59;177.99;21.77;0;21.77;0;0;0.46;29.68;292.87;70;61.49;18.62;79.53;3.61;92.31
Рязанский государственный медицинский университет имени академика И.П. Павлова ;1;40;Рязань;9;4;80.65;80.65;63.37;40.69;0;0;298;23.14;0.44;11.81;50;20.94;13.32;95.39;23.82;14.78;8.73;1906.84;4.1;31.17;254.54;43580.3;4.22;98.95;26.1;0;0;18.92;1.59;3;2.67;11.78;3.98;17.38;14.82;2.56;0;0;0.7;5;4.86;3.02;12382.5;0;1095.06;59.53;158.23;180.69;12.86;0;9.41;3.45;0;0.2;63.7;129.11;85;60.47;13.46;76.61;6.83;69.96
Самарский государственный медицинский университет Министерства здравоохранения Российской Федерации;9;81;Самара;9;4;79.71;79.71;60.33;49.22;0;0;347;31.81;0;15.28;0;6.79;18.94;96.58;25.19;10.63;196.69;773.53;2.01;10.83;202.11;215165.7;8.15;100;412.15;8;0;22.5;6.48;2;12.03;0.41;5.98;8.09;0.84;7.25;0.14;0.29;0;0;0.66;2.82;0;0;3064.98;57.91;180.92;469.52;19;0;16.87;0;2.13;0.2;58.31;67.18;0;54.24;24.81;81.49;6.67;87.96
Самарский государственный технический университет;9;81;Самара;5;1;64.72;64.68;58.86;45.99;0;2;80;3.27;9.06;11.8;8.95;19.55;3.79;85.08;2.33;61.98;83.08;1259.9;14.51;22.2;249.24;376518.9;15.18;88.4;196.42;2;0;15.23;2.89;5;5.49;0.16;2;1.22;0;1.22;0.16;0.01;0.28;4;0.22;0.44;0;13242.6;961.32;48.41;186.46;210.6;11.7;0;11.69;0;0.01;0.32;34.38;145.53;0;54.34;12.04;66.78;4.57;84.34
Самарский национальный исследовательский университет имени академика С.П. Королева;9;81;Самара;5;1;73.37;73.08;67.54;56.37;1;15;148;6.99;14.81;18.31;15.61;83.68;4.67;89.03;10.02;225.2;400.53;675.44;32.91;60.71;276.23;794919.4;27.38;96.88;197.51;1;0;23.26;1.08;17;6.04;1.76;2.97;2.7;0.6;2.11;0;0.01;1.96;17;1.53;1.53;523.8;0;603.06;25.07;248.96;277.41;14.8;14.64;0.09;0;0.07;0.32;19.16;203.51;90;55.55;18.83;74.22;6.56;89.66
Санкт-Петербургская государственная химико-фармацевтическая академия;5;48;Санкт-Петербург;9;1;78.17;78.06;65.88;48.33;0;1;84;17.95;4.92;10.09;4.92;71.07;6.81;95.69;14.04;103.72;193.8;397.11;4.13;7.85;39.26;48094.5;11.19;85.45;165.7;0;0;65.86;0.85;0;5.79;14.08;5.04;20.16;15.37;4.79;0;0;0;0;15.33;3.33;0;45855.7;1025.88;37.46;134.17;301.06;21.31;0;9.18;12.13;0;0.26;82.95;140.9;0;56.1;14.15;67.61;7.1;79.84
Санкт-Петербургская государственная художественно-промышленная академия имени А.Л. Штиглица;5;48;Санкт-Петербург;5;2;76.27;76.27;68.34;52.03;0;0;0;0;10.21;11.78;49.43;90.79;1.77;40.21;0;0;0;178.72;0;1;25.03;9520.6;2.74;100;2.59;1;0;5.13;0;0;0;2.93;4.64;3.29;2.31;0.99;1.08;0.7;0;0;26.09;4.35;0;4202.4;581.72;33.44;138.19;268;21.96;0;21.96;0;0;0.35;49.32;186.59;55;15.39;2.38;16.86;2.69;94.44
Санкт-Петербургский горный университет;5;48;Санкт-Петербург;5;1;74.17;73.79;62.13;58.91;7;11;136;8.6;7;11.84;15.75;24;5.69;99.63;9.14;19.91;66.01;515.41;14.73;49.51;242.5;1301250;34.93;99.08;1586.5;0;0;28.74;4.94;1;12.41;4.91;2;7.55;5.09;2.46;0.44;0.49;1.56;12;7.16;2.72;29291.7;32285.8;2435.33;47.93;200.01;523.65;23.45;0;23.45;0;0;0.52;41.98;143.92;80;72.72;16.67;88.97;9.15;91.34
Санкт-Петербургский государственный аграрный университет;5;48;Санкт-Петербург;6;1;58.14;58.14;54.79;39.41;0;0;27;4.75;13.51;16.2;8.81;69.5;3.62;93.54;0.91;0;3.78;260.95;2.04;2.33;123.93;60947.3;5.57;100;170.76;0;0;9.18;0.84;1;0.58;2.13;10.31;15.32;2.92;12.4;0.11;0;0.74;0;2.63;2.63;1311.2;0;792.62;24.89;179.28;347.67;30.04;0;30.04;0;0;0.3;14;83.66;70;60.52;20.64;83.04;5.37;89.59
Санкт-Петербургский государственный архитектурно-строительный университет;5;48;Санкт-Петербург;5;1;72.7;72.7;63.37;49.4;0;0;23;1.12;15.19;16.07;42.57;94.45;1.81;99.22;1.3;35.35;109.13;615.18;4.23;19.4;165.61;95882.5;7.39;63.13;211.82;0;0;14.82;1.09;3;5.19;2.01;5.1;4.02;1.34;2.68;0.1;0.03;0.18;1;5.17;1.15;0;0;1734.27;57.55;167.15;163.08;7;0;6.92;0.08;0;0.2;33.35;93.19;80;51.92;15.18;66.73;2.75;98.03
Санкт-Петербургский государственный институт культуры;5;48;Санкт-Петербург;3;2;74.33;74.33;65.49;56.72;0;0;12;1.46;6.55;8.24;39.76;50.46;4.16;71.54;0;0;0;382.57;0;1.74;127.52;53463.5;6.58;100;78.54;0;0;8.03;0.61;3;0;2.87;5.52;4.29;1.7;2.6;0.17;0.03;0.24;1;1.49;3.73;0;0;1167.79;49.48;168.57;252.52;7.53;0;7.53;0;0;0.26;64.24;126.51;75;42.7;12.93;58.3;3.72;80.29
Санкт-Петербургский государственный лесотехнический университет имени С.М. Кирова;5;48;Санкт-Петербург;5;1;59.84;59.84;53.92;44.12;0;0;4;0.54;8.4;11.25;17.65;82.93;3.51;100;0.82;167.7;178.82;608.7;17.98;20.92;236.35;67472.9;9.24;57.95;117.9;5;0.02;7.91;1.87;1;7.52;1.26;6.59;5.9;1.44;4.46;0.24;0.2;0;0;31.25;1.79;2946.4;26397.8;791.08;33.16;111.46;228.88;24.59;0;24.59;0;0;0.38;30.96;341.84;75;65.07;16.54;82.6;4.53;90.65
Санкт-Петербургский государственный морской технический университет;5;48;Санкт-Петербург;5;1;58.33;58.33;54.12;39.51;0;0;89;10.36;16.33;18.54;13.8;24.32;3.54;77.86;7.91;11.88;4.75;112.14;13.3;0.71;48.47;621349.4;44.77;89.75;1738.49;0;0;7.54;0.71;1;0;1.45;5.81;6.4;5.51;0.89;0;0;0.18;0;20.74;1.48;8456.3;13996.9;2213.79;55.95;156.92;436.5;21.87;0;21.87;0;0;0.17;34.85;281.89;80;54.87;16.84;68.84;6.5;74.37
Санкт-Петербургский государственный педиатрический медицинский университет;5;48;Санкт-Петербург;9;4;86.61;86.34;70.15;54.62;6;0;178;22.5;0.43;22.25;100;37.64;28.93;90.26;16.06;86.05;87.48;201.58;14.42;30.9;94.93;140676.6;4.91;100;59.71;0;0;13.26;2.09;1;4.28;2.28;7.23;10.8;2.79;8.01;0;0;0;0;5.53;7.26;0;2230;2027.12;44.63;134.22;716.73;26.24;0;16.56;0;0;0.33;57.98;154.35;0;54.56;20.6;77.47;11.86;60.63
Санкт-Петербургский государственный университет;5;48;Санкт-Петербург;11;1;90.41;88.33;78.8;69.82;111;231;9;0.28;27.64;35.42;39.53;40.3;12.55;88.45;0;719.8;899.68;2240.48;53.03;66.49;203.12;1882335.4;15.13;99.35;22.59;12;0.8;16.89;1.5;25;9.17;5.57;3.76;7.82;4.79;3.04;3.15;3.81;1.43;76;8.14;4.54;28591;195596;584.88;20.3;162.72;662.37;30.55;0;30.55;0;0;0.63;46.24;369.85;70;52.13;24.94;76.88;17.2;81.69
Санкт-Петербургский государственный университет аэрокосмического приборостроения;5;48;Санкт-Петербург;5;1;72.53;72.53;65.52;51.65;0;0;657;32.38;13.11;14.4;17.66;93.32;2.02;25.13;31.54;41.75;246.7;364.18;9.22;19.88;183.08;149970.5;9.25;99;198.1;4;0;12.5;0.86;5;6.51;2.72;5.44;9.48;5.37;4.11;0.12;0.01;0.47;0;10.98;2.89;14457.4;64956.2;1322.98;45.13;164.95;189.13;7.24;0;7.24;0;0;0.36;1.79;195.95;75;54.25;19.32;74.37;3.38;71.31
Санкт-Петербургский государственный университет гражданской авиации;5;48;Санкт-Петербург;10;6;68.62;68.54;58.78;45.26;0;1;143;22.88;0.64;2.95;0;77.22;3.18;94.44;11.94;22.72;23.37;310.94;9.74;21.1;78.55;95223.6;3.2;100;146.36;0;0;7.17;0.69;2;1.3;1.06;11.1;11.49;0.95;10.54;0;0;0.65;2;2.15;6.45;0;12512.6;3211.63;33.25;170.19;1018.36;18.5;0;18.5;0;0;0.53;73.41;225.07;0;56.96;11.46;64.78;3.38;94.43
Санкт-Петербургский государственный университет промышленных технологий и дизайна;5;48;Санкт-Петербург;5;1;74.48;65.27;62.76;46.97;14;160;10;0.57;12.76;14.25;26.41;36.55;2.32;73.69;0.97;153.2;156.36;607.88;23.87;24.39;110.73;248795.5;15.86;98.95;405.67;0;0;18.83;0.85;6;2.28;0.91;8.13;5.38;0.65;4.74;3.76;3.73;0.41;3;1.12;3.37;5984;31913.2;1409.85;51.2;169.19;204.6;18.59;0;18.59;0;0;0.44;45.15;298.58;75;76.58;19.08;95.6;4.67;96.63
Санкт-Петербургский государственный университет телекоммуникаций им. проф. М.А. Бонч-Бруевича;5;48;Санкт-Петербург;13;1;71.35;71.35;56.77;41.96;0;0;54;3.86;13.04;15.05;50.53;29.92;2.74;85.61;3.83;23.45;27.28;302.19;12.92;17.71;208.4;88198.9;7.75;89.91;103.49;5;0.11;14.35;1.07;2;3.59;1.28;4.39;4.46;1.32;3.14;0.24;0.78;0.43;0;14.58;3.47;6959.8;26898.4;1373.29;50.46;166.58;216.59;20.04;0;19.67;0;0.37;1.16;49.97;98.24;0;66.92;12.86;74.56;4.85;80.77
Санкт-Петербургский государственный экономический университет;5;48;Санкт-Петербург;5;1;80.22;79.77;67.09;50.7;0;13;43;2.02;22.72;25.71;42.69;41.18;4.43;99.26;0.88;26.96;7.48;7649.27;1.54;6.89;109.98;32510;1.58;100;43.28;0;0;14.37;1.72;9;1.19;4.09;3.27;6.91;3.05;3.85;1.46;2.7;0.25;3;5.93;3.39;682.5;9741.2;1979.42;71.51;170.48;218.9;12.05;0;11.44;0;0.61;0.6;24.69;163.41;0;57.59;23.9;85.87;4.62;79.1
Санкт-Петербургский государственный электротехнический университет ЛЭТИ им. В.И. Ульянова;5;48;Санкт-Петербург;5;1;79.25;78.87;63.81;45.92;1;15;183;10.34;20.88;23.35;25.06;26.12;3.74;63.33;9.18;189.07;236.51;813.47;45.74;59.21;162.69;607867.8;32.78;92.01;622.15;0;0.11;20.17;2.18;4;5.55;1.96;14.01;13.62;2.89;10.73;0.23;0.09;0.08;1;17.67;1.41;11870.3;2715.9;921.23;38.54;161.77;278.66;11.2;0;10.93;0.22;0.05;0.46;29.67;133.72;75;55.42;17.61;73.12;7.74;71.02
Санкт-Петербургский национальный исследовательский университет информационных технологий; механики и оптики;5;48;Санкт-Петербург;5;1;87.01;83.72;74.33;66.09;5;193;36;2.37;41.88;46.49;53.43;44.98;8.63;100;2.21;556.34;677.28;1122.05;178.89;226.66;183.46;2075250.1;41.54;91.64;853.76;3;0;30.13;3.41;7;15.81;2.39;10.06;13.27;1.65;11.61;0.85;0.41;3.93;22;7.16;6.28;39918.4;47202.3;2060.19;32.41;258.95;515.98;11.05;0;10.95;0.05;0.05;0.38;11.75;236.29;75;57.21;21.05;76.23;5.77
Санкт-Петербургский политехнический университет Петра Великого;5;48;Санкт-Петербург;5;1;78.08;77.31;66.24;55.22;2;82;238;5;19.58;22.46;36.87;89.79;4.3;86.99;6;561.21;602.94;1287.44;46.78;66.1;203.55;1363474.3;17.19;88.15;310.03;5;0.01;20.15;0.98;16;3.61;7.13;5.16;8.08;4.06;4.02;1.72;1.69;2.78;83;8.97;1.07;36237;13620.5;1225.63;40.71;172.34;364.15;14.65;0;14.63;0;0;0.37;60.24;166.26;75;47.46;16.71;63.86;5.91;87.31
Саратовский государственный медицинский университет имени В.И. Разумовского;9;82;Саратов;9;4;80.17;80.17;62.21;45.71;0;0;325;26.79;0;12.17;0;6.91;15.58;94.59;22.53;23.71;38.11;236.34;5.41;7.37;211.59;66550.3;1.47;99.71;14.39;1;0;20.1;1.32;3;1.5;5.4;11.45;12.43;7.14;5.29;0;0;0;0;4.19;1.27;0;0;2860.18;53.48;150.48;704.8;17.71;0;17.27;0;0;0.24;44.47;81.55;80;55.07;20.12;75.67;9.53;92.23
Саратовский государственный технический университет имени Гагарина Ю.А.;9;82;Саратов;5;1;63.23;63.19;52.48;43;0;1;116;9.26;14.11;17.69;18.56;21.43;4.98;94.12;5.78;109.96;134.64;440.11;15.43;28.19;168.58;127573.7;11.13;99.65;31.92;9;0.01;28.19;2.34;7;7.43;1.05;2.75;2.8;0;2.8;0.06;0.03;0.47;4;0.3;3.88;0;55;635.54;39.54;179.81;170.28;12.22;0;12.22;0;0;0.45;52.78;185.81;70;54.01;24.31;78.42;5.01;85.54
Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского;9;82;Саратов;5;1;65.69;65.67;58.84;33.09;1;0;6;0.25;15.51;18.73;28.39;42.22;4.35;51.64;1.36;180.58;205.4;310.84;36.74;47.3;440.61;338163.5;16.63;99.38;196.89;4;0.6;18.45;0.56;16;11.14;1.7;4.1;4.16;0.88;3.28;0.03;0.09;0.16;0;5.72;1.69;0;47990;591.14;29.76;181.4;187.33;11.16;0;10.54;0;0.62;0.43;48.23;297.64;75;58.82;24.3;84.32;4.7;88.17
