name;okrug;subject;cityname;vedomstvo;specific;y2017I1.1;y2017I1.2;y2017I1.3;y2017I1.4;y2017I1.5;y2017I1.6;y2017I1.7;y2017I1.8;y2017I1.9;y2017I1.10;y2017I1.11;y2017I1.12;y2017I1.13;y2017I1.14;y2017I1.15;y2017I2.1;y2017I2.2;y2017I2.3;y2017I2.4;y2017I2.5;y2017I2.6;y2017I2.7;y2017I2.8;y2017I2.9;y2017I2.10;y2017I2.11;y2017I2.12;y2017I2.13;y2017I2.14;y2017I2.15;y2017I2.16;y2017I3.1;y2017I3.2;y2017I3.3;y2017I3.4;y2017I3.5;y2017I3.6;y2017I3.7;y2017I3.8;y2017I3.9;y2017I3.10;y2017I3.11;y2017I3.12;y2017I3.13;y2017I4.1;y2017I4.2;y2017I4.3;y2017I4.4;y2017I5.1;y2017I5.2;y2017I5.3;y2017I5.4;y2017I5.5;y2017I5.6;y2017I5.7;y2017I5.8;y2017I6.1;y2017I7.1;y2017I7.2;y2017I7.3;y2017I7.4;y2017I7.5
Северный (Арктический) федеральный университет имени М. В. Ломоносова.;5;46;Архангельск;5;1;62.73;62.62;58.1;43.66;1;2;127;7.75;16;18.72;18.42;11.67;3.64;75.16;6.17;16.27;26.75;566.38;7.53;11.14;392.79;198565.8;7.75;85.9;175.33;0;0;12.89;1.16;5;6.11;1.88;3.74;1.07;0.66;0.41;4.28;1.84;0.75;0;1.14;3.04;5054.2;12751.9;630.19;22.53;136.7;354.18;17.9;0.5;17.4;0;0;0.58;55.08;167.2;0;60.45;11.38;71.1;6.18;92.35
Северный государственный медицинский университет;5;46;Архангельск;9;4;75.15;75.08;61.14;52.76;0;1;218;35.22;0.05;15.83;0;83.11;19.71;98.24;29.29;411.47;456.69;832.62;15.07;8.1;206.52;45610.2;5.62;0;45.33;0;0;11.98;0.89;1;5.62;11.12;0.35;7.65;7.62;0.03;0;0;0.2;0;0.88;0;17814.4;49451;581.14;31.82;161.28;281.18;15.38;0;11.75;3.63;0;0.42;49.55;145.67;95;58.1;22.16;80.31;10.39;69.7
Северо-Западный государственный медицинский университет имени И.И. Мечникова ;5;48;Санкт-Петербург;9;4;88.16;88.16;67.43;53.87;0;0;290;32.12;0.64;29.9;100;77.11;44.85;97.04;27.69;0;86.1;437.89;4.98;16.63;100.42;112802.9;2.51;100;45.08;0;0;5.92;1.48;5;2.22;1.88;6.45;14.19;5.02;9.17;0;0;0.07;1;4.1;8.8;7010.6;72840.6;2107.93;52.26;132.56;1005.19;26.36;0;26.36;0;0;0.89;35.06;127.81;0;60.19;27.49;89.01;21.85;56.89
Северо-Кавказский горно-металлургический институт (государственный технологический университет);7;67;Владикавказ;5;1;54.82;54.82;52.95;42.7;0;0;22;2.59;15;16.31;100;87.81;2.63;76.85;2.11;2.76;9.04;222.39;3.77;9.79;217.12;23564.1;4.35;99.92;0.29;0;0;12.16;0.54;2;0.75;1.28;0.31;0.96;0.72;0.24;0;0;0.23;0;0;0;0;1549.2;401.5;29.54;152.99;130.79;20.35;0;20.35;0;0;0.35;33.88;109.15;35;51.62;14.48;66.15;4.62;83.33
Северо-Кавказский федеральный университет;7;68;Ставрополь;5;1;69.31;69.27;55.58;42.64;1;0;209;7.99;20.66;23.65;82.64;30.77;4.78;94.86;6.97;31.61;45;1177.84;6.42;14.7;353.48;168069;6.08;100;50.2;5;0;25.02;0.79;4;1.86;3.4;5.5;2.09;0.52;1.57;0.22;0;0.07;0;2.12;0.88;0;0;420.21;22.02;161.47;233.3;10.44;0;10.44;0;0;0.39;76.02;118.09;0;67.89;16.7;85.2;6.98;84.21
Сибирский государственный автомобильно-дорожный университет (СибАДИ);3;15;Омск;5;1;54.88;54.88;47.6;41.23;0;0;11;1.73;8.59;9.45;7.69;23.99;0.95;95.62;1.13;0.81;5.95;1729.94;2.98;5.14;517.93;29375.6;4.84;93.65;68.54;0;0;16.47;0.6;2;1.35;0.03;7.11;2.18;0;2.18;0;0;0;0;0;0;0;0;494.74;28.83;180.77;172.69;11.45;0;11.45;0;0;0.36;35.55;170.9;0;62.62;10.93;74.36;4.05;97.07
Сибирский государственный аэрокосмический университет имени академика М.Ф. Решетнева;3;13;Красноярск;5;1;59.65;59.57;53.17;41.97;0;2;180;7.45;14.33;16.37;27.49;40;2.74;68.85;10.13;89.23;95.6;392.24;21.36;20.13;159.56;198814.2;7.9;100;78.52;0;0;12.72;0.42;4;2.98;0.21;3.89;0.39;0;0.39;0.13;0.22;0.53;0;1.39;0;0;7715.2;690.6;26.73;163.67;240.06;14.81;0;14.4;0;0.41;0.31;32.26;167.16;75;59.64;12.5;71.56;4.5;85.62
Сибирский государственный индустриальный университет;3;12;Новокузнецк;5;1;58.78;58.78;53.26;37.62;0;0;26;3.33;7.08;8.14;100;16.2;1.64;81.41;4.2;13.83;45.63;442.2;28.48;35.95;504.42;54296.8;7.79;99.54;41.53;0;0;20.8;2.49;12;4.42;0;13.59;4.43;0;4.43;0.03;0;0;0;0;0;282;3379.6;579.78;30.1;169.48;162.98;17.62;0;17.62;0;0;0.51;24.77;172.7;75;49.88;13.54;63.43;3.15;92.78
Сибирский государственный медицинский университет Министерства здравоохранения Российской Федерации;3;20;Томск;9;4;81.85;80.37;59.09;43.79;1;19;241;19.72;0;12.11;0;13.85;14.19;92.53;18.24;45.32;54.28;303;25.58;28.33;155.52;66704;6.72;82.19;142.64;1;0;12.85;1.38;0;4.75;1.38;19.37;8.67;0.21;8.45;0.14;0.14;0.51;4;0.15;7.57;0;3100.5;2118.83;53.08;150.65;479.01;17.19;0;17.19;0;0;0.39;57.81;173.85;90;50.68;30.24;85.01;8.72;64.71
Сибирский государственный университет геосистем и технологий;3;14;Новосибирск;5;1;66.02;66.02;57.54;56.17;0;0;38;8.52;13.21;14.42;18.75;22.85;2.23;96.09;3.55;10.55;20.75;170.21;6.68;20.4;146.3;48337.3;8.56;100;147.1;16;0;16.17;3.31;2;2.11;0.38;16.69;3.35;0;3.35;0.04;0.08;4.95;15;0;12.5;0;12455.9;825.26;41.53;161.61;196.97;12.66;0;12.55;0;0.11;0.36;28.53;99.18;70;71.14;11.45;81.22;4.29;90.75
Сибирский государственный университет путей сообщения;3;14;Новосибирск;12;1;74.52;74.52;56.97;44.64;0;0;252;18.39;6.26;7.41;9.31;85.19;1.53;96.27;27.82;4.46;6.32;415.79;2.79;3.53;136;228744.1;18.97;100;424.71;5;0.01;11.44;1.92;2;0.93;0.95;3.3;2.06;0.78;1.28;0.2;0.11;0.33;2;0;1.03;11123.2;12475.1;1510.85;67.28;197.75;191.17;9.64;0;9.64;0;0;0.35;40.97;158.13;80;56.64;9.69;65.62;4.43;95.46
Сибирский государственный университет телекоммуникаций и информатики;3;14;Новосибирск;13;1;67.98;67.98;53.57;45.29;0;0;149;16.82;8.29;11;100;62.45;3.83;70.02;6.37;13.85;21.74;49.44;18.39;11.94;0;11315.9;1.99;100;18.08;0;0;26.95;1.45;1;0;0.03;5.06;3.79;0.13;3.66;0;0;1;0;0;5.76;0;0;676.34;43.57;152.62;179.18;11.63;0;11.63;0;0;0.5;32.99;150.81;80;39.44;11.82;47.68;3.39;68.63
Сибирский государственный университет физической культуры и спорта;3;15;Омск;17;5;72.25;72.25;50.5;60.12;0;0;3;1.08;16.71;19.61;19.2;27.75;4.51;88.88;1.56;0;0;758.69;0;3.75;161.58;14053.9;3.74;100;46.31;0;0;15.25;2.58;2;1.07;0;14.41;8.68;0;8.68;0;0;0;0;0;2.78;0;514.2;509.35;25.34;154.59;235.25;24.96;0;24.8;0.11;0.06;0.43;63.1;206.91;0;61.85;10.59;70.79;5.98;87.65
Сибирский федеральный университет;3;13;Красноярск;5;1;67.57;67.39;59.73;42.17;4;10;154;2.86;14.51;17.07;24.12;84.69;3.32;92.78;6.12;299.91;401.12;2710.44;14.34;20.75;177.54;594853;8.08;91.72;178.32;10;0.01;24.1;0.99;5;6.61;0.48;1.5;0.66;0.28;0.38;0.33;0.35;0.69;0;1.13;0.76;5691.3;10680.3;624.59;21.53;157.76;346.86;13.28;0;13.1;0;0.06;0.41;16.98;90.44;0;49.74;11.99;60.23;6;83.45
Смоленская государственная академия физической культуры; спорта и туризма;1;41;Смоленск;17;5;59.26;58.09;51.81;47.8;0;0;6;2.58;7.38;8.67;24.24;68.04;1.78;89.25;6.98;0;0;155.74;7.11;0;50.4;1318.8;0.29;100;5.69;0;0;13.86;0.62;1;0;0;18.63;11.08;0;11.08;0;0;0;0;0;0;0;0;501.72;17.12;134.94;385.46;41.69;0;41.69;0;0;0.32;68.18;123.02;0;56.7;5.49;62.65;5.24
Смоленский государственный медицинский университет;1;41;Смоленск;9;4;77.19;77.19;60.22;42.32;0;0;168;17.61;0;11.38;0;6.61;13.42;95.08;19.85;30.45;27.21;285.44;5.33;4.95;65.65;43845.7;7.53;100;45.76;0;0;13.87;1.26;4;10.85;19.9;4.54;26.42;23.12;3.3;0;0;0.9;5;0.19;0.57;0;23662.5;473.74;42.77;153.66;147.91;22.58;0;8.89;13.5;0;0.16;7.35;128.2;85;59.51;17.36;78.14;9.72;86.33
Смольный институт Российской академии образования;5;48;Санкт-Петербург;1;1;0;0;83.34;66.5;0;0;0;0;1.66;1.66;0;75;0;91.08;0;4.54;2.27;866.21;0;6.8;88.44;1896;2.59;100;42.99;0;0;5.08;0;1;0;1.31;8.51;8.54;0;8.54;0;0;1.69;1;0;0;0;0;1649.18;99.18;88.7;213.4;46.16;0;0;39.17;6.98;0.63;100;23.74;0;63.72;14.74;77.14;2.16;77.59
Ставропольский государственный медицинский университет Министерства здравоохранения Российской Федерации;7;68;Ставрополь;9;4;77.29;77.29;59.17;43.38;0;0;284;29.04;0.94;17.75;23.33;27.76;22.75;92.73;27.8;15.23;25.81;476.65;4.21;18.42;179.23;46433.9;4.61;95.12;64.05;1;0;13.47;1.66;2;0;12.28;3.16;9.54;8.8;0.75;0;0;0.13;1;2.68;1.44;0;42977.4;764.16;52.37;153.29;219.53;9.58;0;7.27;2.31;0;0.24;50.19;87.37;0;57.84;15.12;75.2;10.62;71.88
Тамбовский государственный технический университет;1;42;Тамбов;5;1;60.16;60.16;56.21;42.75;0;0;72;8.83;19.44;22.38;14.85;27.27;4.66;77.24;8.25;56.53;65.78;1599.07;11.87;14.89;418.63;200444.6;22.12;77.49;276.68;4;0.21;25.27;3.03;4;6.24;8.11;1.16;7.74;6.85;0.89;0.03;0.03;0.18;0;16.67;5.56;2201.7;42940.5;887.92;46.7;174.79;222.66;22.86;0;22.54;0.19;0.12;0.52;70.73;265.76;65;63.17;18.78;82.95;5.79;90.67
Тамбовский государственный университет имени Г.Р. Державина;1;42;Тамбов;5;1;66.75;66.75;58.3;44.34;0;0;83;4.87;8.48;12.29;18.52;23.72;5.86;77.19;4.06;15.07;22.33;2408.53;17.25;22.7;310.85;119966.5;10.11;100;170.84;0;0;23.53;0.84;19;45.39;16.96;2.56;6.45;6.45;0;0.08;0.22;0.82;4;9.05;0.22;0;192464.7;1157.36;53.74;164.19;153.55;15.15;0;12.65;2.49;0;0.44;10.95;183.53;70;74.63;19.22;96.78;4.9;77.04
Тамбовское областное Тамбовский государственный музыкально-педагогический институт им. С.В. Рахманинова;1;42;Тамбов;2;2;64.29;64.29;53.7;53.33;0;0;0;0;20.52;22.86;20.83;12.9;3.04;41.83;6.6;0;0;421.05;0;7.74;205.88;4782.8;4.18;100;9.96;0;0;16.22;3.51;0;0;0;7.6;11.76;0;11.76;0;0;0;0;0;0;0;0;112.65;6.36;152.78;434.6;27.85;0;24.29;3.56;0;0.31;39.94;308.95;75;77.09;7.12;82.99;13.3;78.08
Тверской государственный медицинский университет Министерства здравоохранения Российской Федерации;1;43;Тверь;9;4;83.23;82.28;70.18;58.92;0;2;181;25.97;0;13.25;0;8.59;15.78;88.73;23.38;11.51;57.11;1716.53;3.77;15.9;68.2;55641.7;5.44;100;16.22;8;0;15.13;1.85;2;1.88;24.61;2.53;25.08;22.89;2.19;0;0;0;0;2.85;2.14;0;0;1227.95;57.37;158.84;287.76;14.66;0;12.09;2.57;0;0.3;36.31;132.09;75;54.86;17.94;73.78;9.7;90.74
Тверской государственный технический университет;1;43;Тверь;5;1;58.88;58.88;52.75;42.43;0;0;17;2.03;12.24;13.45;5.68;86.59;2.91;57.66;1.36;39.4;62.68;737.62;6.91;11.26;345.91;70080.5;11.03;96.46;108.3;3;0;10.28;1.39;3;6.14;3.72;3.77;6.05;4.26;1.79;0.22;0;0.22;1;10.17;1.69;8710.3;17413.9;636.35;38.99;173.26;157.32;15.28;0;15.28;0;0;0.2;32.61;343.5;75;57.14;17.01;73.98;3.96;94.93
Тверской государственный университет;1;43;Тверь;5;1;67.19;67.13;61.56;47.42;1;0;31;2.37;17.11;19.08;100;100;3.34;85.08;3.7;34.65;38.98;144.42;15.44;23.35;184.71;130868.7;12.61;97.02;63.63;6;0.01;12.82;1.16;17;6.97;0.47;2.63;3.03;0.56;2.48;0.4;1.12;1.04;1;0;0;461.2;17019.1;779.67;39.89;195.66;166.75;10.6;0;10.6;0;0;0.24;48.87;162.24;75;64.24;17.74;82.63;5.04;94
Тихоокеанский государственный университет;4;28;Хабаровск;5;1;61.06;60.96;56.53;42;0;2;31;1.94;12.22;13.07;12.24;92.96;1.85;81.96;3.89;8;18.13;282.45;5.63;7.63;254.44;126354.8;7.19;99.49;148.9;1;0;13.87;0.79;8;2.13;7.58;0.5;1.27;1.13;0.14;0.8;2.42;0.82;2;4.88;0;0;47183.2;1070.56;46.79;158.01;206.35;11.3;0;11.3;0;0;0.74;43.34;219.93;0;50.53;13.65;64.24;3.29;90.33
Тольяттинский государственный университет;9;81;Самара;5;1;61.09;61.09;58.98;46.06;0;0;60;5.47;17.2;17.82;24.59;75.97;1.25;93.67;3.12;47.41;53.23;458.8;8.28;13.04;209.92;98065.5;10.87;99.03;112.14;1;0;18.59;1;4;2.82;0.06;4.35;1.12;0.18;0.94;0.05;0.05;0;0;1.28;0;0;0;879.62;47.94;163.53;166.85;15.79;0;15.79;0;0;0.3;25.68;177.59;75;52.76;14.88;67.16;3.29;85.34
Томский государственный архитектурно-строительный университет;3;20;Томск;5;1;67.21;67.21;60.29;57.58;0;0;68;10.58;12.09;13.21;9.82;92.6;1.83;91.36;4.48;65.91;86.18;1072.33;33.6;41.81;350.35;44974.7;5.04;95.94;76.91;0;0;14.29;1.82;1;4.1;0.42;18.78;15.27;0.69;14.58;0;0;0.21;1;0;2.56;0;2165.7;717;31.26;156.43;209.91;13.94;0;13.94;0;0;0.28;56;161.65;70;50.09;16.97;68.26;4.36;93.4
Томский государственный педагогический университет;3;20;Томск;5;1;69.6;69.33;61.07;50.52;1;0;158;30.15;24.69;25.91;39.13;52.96;2.41;96.95;13.85;907.58;809.78;2475.96;35.21;35.53;233.41;42793;6.14;100;47.55;2;0;12.36;0.68;6;40.42;0.95;13.46;14.95;0.02;14.93;1.11;1.39;3.37;12;2.35;4.71;0;17203.4;728.84;32.06;176.18;197.96;12.56;0;12.56;0;0;0.39;48.26;262.56;80;65.12;22.05;87.32;3.96;86.59
Томский государственный университет систем управления и радиоэлектроники;3;20;Томск;5;1;68.03;67.97;56.3;44.6;0;1;54;3.97;12.01;14.33;14.58;17.83;3.47;84.65;4.04;72.97;107.15;484.76;30.48;40.27;172.73;810804.1;42.19;83.04;827.11;0;0.1;43.57;2.33;1;5.73;0.28;22.08;27.95;0.1;27.85;0.16;0.25;1.22;10;0;6.54;0;34605.7;1495.12;42.11;164.89;311.77;12.46;0;12.46;0;0;0.76;12.2;93.14;75;47.52;12.68;59.05;3.09;74.37
Тульский государственный университет;1;44;Тула;5;1;65.86;65.86;57.52;45.5;0;0;373;16.25;12.35;16.18;10.42;17.75;5.39;89.75;6.79;27.16;41.01;628.4;5.52;9.63;195.87;110888.3;6.25;100;60.11;11;0;17.09;2.14;11;3.14;3.87;3.47;9.1;5.88;3.22;0;0;0;0;4.78;3.54;4343.6;3995.5;715.23;35.4;162.76;178.22;15.75;0;15.62;0.13;0;0.35;14.26;102.37;0;56.78;21.39;90.13;4.82;76.66
Тюменский государственный университет;2;5;Тюмень;5;1;73.47;73.24;59.18;42.06;1;4;10;0.37;13.77;15.63;21.16;90.76;2.93;92.3;2.07;78.88;119.01;759.99;17.33;25.08;255;422772.6;14.59;100;450.94;7;0;21.95;0.94;10;3.19;0.24;4.86;2.13;0.42;1.71;0.57;0.34;0.97;11;2.93;3.91;7845.3;0;1837.29;55.61;165.01;277.07;15.9;0;9.72;4.89;1.29;0.27;28.05;179.99;0;56.43;15.91;74.64;3.37;77.88
Ульяновская государственная сельскохозяйственная академия имени П.А. Столыпина;9;84;Ульяновск;6;3;52.27;52.27;50.77;43.54;0;0;12;3.67;2.91;4.77;4;77.18;2.55;61.91;4.82;0;55.52;15185.06;0.66;23.79;1474.55;24174.6;6.42;100;127.82;0;0;12.14;1.63;2;3.97;0.1;10.01;3.32;0;3.32;0;0.24;0;0;0;0;0;1165.6;706.54;28.39;169.3;191.98;20.92;0;20.92;0;0;0.27;40.56;255.12;75;70.22;16.82;87.61;3;89.71
Ульяновский государственный университет;9;84;Ульяновск;5;1;63.74;63.74;56.05;46.34;0;0;135;9.18;5.65;12.08;12.2;84.69;8.01;95.8;9.8;109.66;132.08;802.42;15.36;17.12;187.25;178909.3;13.9;99.36;98.08;1;0.01;18.98;0.5;2;4.08;2.48;2.98;3.28;0.87;2.41;0.07;0;0.24;1;0;1.35;6432.6;28733.9;848.81;48.54;188.24;199.03;12.53;0;9.89;0;0.36;0.3;37.64;110.93;70;56.47;18.91;78.77;5.83;74.58
Уральский государственный аграрный университет;2;4;Екатеринбург;6;3;58.85;58.85;53.71;45.81;0;0;77;18.2;11.31;14.12;35.46;86.34;4.62;98.07;5.76;28.02;26.57;2259.9;13.04;9.18;1338.16;40307.4;8.99;95.34;123.49;9;0.27;23.14;1.01;4;1.45;0.3;4.5;1.07;0.22;0.84;0.25;0;0.78;2;3.7;2.78;1834.7;1141.9;776.55;35.84;167.37;191.78;15.63;0;15.63;0;0;0.32;70;144.72;75;64.98;20.29;84.39;3.52;78.86
Уральский государственный экономический университет;2;4;Екатеринбург;5;1;75.23;75.23;56.91;40.58;0;0;12;1.29;10.49;11.08;33.63;52.13;1.52;89.17;2.76;4.81;10.63;382.16;3.81;4.81;398.2;12683.1;1.12;98.82;8.6;0;0;19.35;2;3;1.4;0.59;2.66;1.7;0.18;1.52;0.16;0.14;0.31;0;6.17;1.23;0;14784;1838.55;80.94;157.3;213.27;6.51;0;6.18;0.31;0.02;0.32;47.3;126.37;85;57.81;12.24;70.07;2.55;69.15
Уральский федеральный университет имени первого Президента России Б.Н. Ельцина;2;4;Екатеринбург;5;1;72.46;72.23;66.13;53.2;7;17;361;6.28;16.18;19.32;21.07;22.49;3.96;91.63;7.56;308.64;369.19;1132.15;49.49;56.82;213.1;1824862.7;22.95;84.11;291.3;0;1.34;24.35;1.3;17;6.4;1.92;4.74;3.46;1.56;1.91;0.65;0.93;4.65;92;5.04;3.56;3165.9;7605.3;1103.51;43.07;203.84;312.5;10.01;0;10;0;0.01;0.55;62.77;99.15;80;47.36;13.87;60.75;5.8;74.31
Уфимский государственный нефтяной технический университет;9;77;Уфа;5;1;71.88;71.44;57.64;47.65;0;14;64;3.51;20.21;21.8;22.83;92.44;3.07;95.5;1.87;23.21;39.36;1019.99;7.28;14.46;543.08;260704.2;11.05;53.24;268.78;6;0;17.62;2.57;10;2;2.23;5.08;7.18;3.4;3.78;0.05;0.35;0.73;0;4.09;2.83;2226;68447.2;1414.33;53.16;207.2;243.13;11.79;0;11.39;0;0.4;0.49;42.57;91.41;0;57.93;15.54;77.19;4.65;85.08
Ухтинский государственный технический университет;5;56;Ухта;5;1;59.75;59.75;53.22;40.34;0;0;29;4.15;12.19;13.42;14.45;87.99;2.02;69.08;1.84;3;3.33;363.82;2;1.67;118.94;32133.6;2.86;74.26;107.71;0;0;20.13;1.13;4;0;1.85;9.93;9.42;0.6;8.82;0.08;0;0.63;2;0;0;0;946.5;1646.91;43.73;145.75;400.44;36.54;0;26.24;9.84;0.45;0.66;44.98;110.76;75;46.16;8.83;52.68;3.45;84.29
Учреждение высшего образованияУниверситет управления ТИСБИ;9;80;Казань;1;1;63.16;63.16;54.47;45.9;0;0;0;0;8.3;10.11;28.12;62.91;4.58;39.41;0;81.98;92.44;338.37;13.37;20.35;215.12;17275.8;6;100;99.47;3;0;12.21;0.86;3;0.58;0.32;1.55;3.13;0.69;2.44;0;0;0;0;1.64;0;0;2111.3;1381.88;82.55;165.27;216.15;5.36;0;0;4.67;0.69;0.28;60.12;155.81;75;66.86;16.42;74.65;3.54;67.25
Федеральное Амурский государственный университет;4;21;Благовещенск;5;1;60.35;60.35;55.14;42.55;0;0;11;1.28;9.6;10.32;23.6;92.5;1.75;71.36;6.21;23.69;40.31;205.07;3.81;10.08;220.04;48143.3;5.93;100;123.54;2;0;10.06;3.06;5;6.81;2.77;0.2;1.38;1.38;0;0.81;0.7;1.22;2;10.61;0;0;11057.7;1029.07;46.57;173.24;215.01;13.52;0;13.52;0;0;0.35;47.73;416.52;70;67.66;9.49;70.87;5.11;93.65
Омский государственный университет им. Ф.М. Достоевского;3;15;Омск;5;1;63.95;63.56;58.68;46.25;0;6;31;2.72;12.6;14.57;25.2;62.29;3.43;86.18;6.56;55.51;74.37;947.56;10.75;14.26;395.79;44772.7;4.98;99.56;41.63;0;0;13.09;1.58;7;14.92;0.1;7.25;5.29;0.26;5.03;0.44;0.33;0.16;0;0;11.5;2266.3;33076.7;833.48;42.25;171.38;154.11;10.53;0;8.78;1.3;0.45;0.25;25.02;124.22;75;59.37;19.27;78.48;4.2;86.87
Финансовый университет при Правительстве Российской Федерации;1;1;Москва;11;1;85.04;83.43;68.79;51.14;0;105;101;3.95;16.52;19.26;37.27;90.11;4.24;92.25;1.75;6.89;21.26;1169.5;7.31;15.29;1460.62;244650;5.11;98.43;78.84;8;0.02;15.75;0.54;12;2.6;3.41;4.57;4.09;1.82;2.28;1.09;0.31;0.7;9;3.4;4.34;4210.1;7607.3;2093.31;47.56;164.22;419.22;15.07;0;14.9;0.16;0.01;0.49;0.12;79.4;0;58.96;23.38;81.01;5.21;77.31
Сибирский университет потребительской кооперации;3;14;Новосибирск;1;1;0;0;50.35;46.98;0;0;0;0;3.27;3.99;100;95.88;4.09;57.6;0;0.56;1.12;200.22;0.56;2.23;322.36;15182;4.6;100;81.33;0;0;13.1;0.58;1;5.58;0;7.78;3.05;0;3.05;0.19;0.19;0;0;0;0;0;15177;1731.49;94.05;175.64;245.32;22.51;22.51;0;0;0;0.56;37.06;289.16;70;68.01;15.42;83.58;3.78;75.69
Православный Свято-Тихоновский гуманитарный университет;1;1;Москва;1;1;70.18;68.56;65.61;53.49;0;5;0;0;13.1;15.77;8.24;20.63;4.21;97.5;0;26.53;16.77;460.31;8.58;6.24;188.41;54861.3;12.44;100;187.42;132;0;14.69;3.4;6;1.95;0.55;5;6.19;0.47;5.72;0;0;0.77;3;1.96;0;99;0;1406.62;81.76;77.92;364.13;14.66;0;0;14.66;0;0.38;79.08;78.29;55;52.6;14.76;59.25;10.27;67.44
Челябинский государственный институт культуры;2;7;Челябинск;3;1;66.66;66.66;60.58;56.76;0;0;2;0.79;4.61;6.03;17.24;52.75;4.95;69.34;0;0;1.39;309.66;2.32;1.39;167.13;22032;7.96;100;102.28;0;0;10.19;1.73;1;0.93;0.21;9.96;7.98;0;7.98;0.08;0;0;0;0;18.57;0;0;439.33;26.79;147.08;249.61;12.55;0;12.51;0;0;0.33;27.05;210.27;75;40.65;7.43;49.47;3.58;87.12
Челябинский государственный университет;2;7;Челябинск;5;1;68.19;67.31;59.79;42.87;1;12;4;0.25;9.81;11.49;20.85;33.18;2.34;94.49;0.35;57.98;68.01;331.3;12.54;17.87;221.6;106739.2;9.34;100;68.06;0;0;29.99;0.8;7;6.27;0.07;3.17;1.95;0.07;1.88;0.15;0.06;0.57;0;0;4.6;0;0;1009.17;55.35;171.09;156.68;12.51;0;8.24;0;1.39;0.37;46.28;105.49;70;57.83;15.45;72.22;3.68;91.51
Чувашский государственный педагогический университет им. И.Я. Яковлева;9;85;Чебоксары;5;1;68.91;68.91;59.9;46.56;0;0;39;5.31;1.92;2.96;3.7;34.55;2.47;92.74;4.05;4.62;13.87;105.2;1.73;18.21;255.78;22076.8;4.75;100;50.98;0;0;11.67;0.99;2;2.6;0.03;9.86;8.5;0;8.5;0;0;0;0;1.25;0;1380;15178.4;506.24;37.72;149.63;143.09;17.5;0;17.5;0;0;0.22;1.87;237.31;75;70.68;11.16;81.88;4.9;96.13
Чувашский государственный университет имени И.Н. Ульянова;9;85;Чебоксары;5;1;69.71;69.65;60.49;49.45;0;2;141;6.66;6.17;10.64;10.71;75.9;5.92;89.58;7.24;32.82;47.54;661.76;6.86;10.86;318.34;52497.1;3.65;100;60.41;0;0;10.83;1.03;5;3.37;3.41;4.75;3.1;2.64;0.46;0.18;0.16;0.2;1;2.68;2.52;0;80634.9;817.04;45.58;176.05;142.78;10.36;0;10.36;0;0;0.21;45.67;167.11;70;54.33;12.14;67.43;3.12;87.73
Юго-Западный государственный университет;1;37;Курск;5;1;68.25;68.25;56.85;48.43;0;0;29;2.39;14.83;18.07;14.46;88.79;5.92;84.11;4;52.36;124.61;3363.96;20.28;27.46;476.64;217934.7;19.61;99.59;241.06;11;0.22;24.4;1.09;7;6.42;2.55;2.22;4.32;3.82;0.5;0.35;0.34;1.13;7;3.12;0.78;2958;24172;902.51;60.77;202.78;178.53;8.2;0;8.2;0;0;0.27;62.8;224.38;65;63.18;16.11;81.08;5.56;81.5
Южно-Российский государственный политехнический университет (НПИ) имени М.И. Платова;6;62;Новочеркасск;5;1;57.84;57.84;50.81;41.01;0;0;91;7.3;19.16;20.44;5.78;11.85;2.14;83.58;5.95;36.02;91.08;889.4;9.84;18.41;113.14;144425.4;10.59;100;223.26;1;0;14.84;1.23;4;3.49;0.52;3.43;3.03;1.87;1.16;0;0;0.12;1;10.39;1.3;0;11649.8;652.78;28.27;170.8;202.6;12.89;0;12.89;0;0;0.3;41.11;373.58;70;57.58;15.84;73.8;4.76;87.27
Южно-Уральский государственный гуманитарно-педагогический университет;2;7;Челябинск;5;1;68.95;68.95;59.36;49.89;0;0;107;13.39;8.5;9.71;25.2;70.74;4.54;95.16;3.49;14.45;25.22;766.01;3.92;8.33;536.06;38771.2;4.76;100;86.78;21;0;11.66;2.49;3;9.55;0.66;3.5;2.25;0.03;2.22;0.08;0;0.45;2;0.99;7.43;0;0;971.28;48.69;158.18;182.98;8.41;0;8.41;0;0;0.28;32.81;182.77;80;65.92;16.25;81.96;3.01;99.31
Южно-Уральский государственный университет (национальный исследовательский университет);2;7;Челябинск;5;1;66;65.73;57.49;43.11;0;13;98;2.47;12.95;15.34;24.58;36.83;3.29;85.08;3.67;47.53;79.98;1183.9;15.48;24.54;236.36;630021.3;17.63;95.08;204.25;11;0;17.59;1.65;27;3.78;1.53;7.54;7.42;2.38;5.04;0.59;0.78;1.39;27;8.46;4.06;4294.5;71716;786.34;44.2;173.81;199.21;9.6;0;9.45;0.05;0.1;0.41;28.81;113.21;0;47.6;12.6;60.13;4.21;88.34
Южный федеральный университет;6;62;Ростов-на-Дону;5;1;73.85;73.48;69.83;60.53;0;20;213;8.18;26.16;30.12;18.86;88.8;5.75;83.23;5.71;235.63;279.87;1700.01;31.11;39.46;365.18;1296558.6;26.62;99.84;260.43;1;5.5;24.89;0.88;21;25.59;2.35;5.35;3.08;1.3;1.78;0.44;0.25;1.08;30;4.98;2.34;0;175;686.42;32.71;194.49;284.78;16.6;0;16.3;0.26;0.05;0.61;56.99;204.39;70;56.85;16.26;73.12;7.2;94.73
